3,5,0,5,4,4,3,3,0,3,0,0,4,0,0,0,0,0,0,4,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,5,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,2,0,3,3,0,3,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5,0,5,5,5,5,0,5,0,0,0,4,5,5,0,0,0,0,5,1,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,4,0,0,0,5,4,0,4,5,0,0,2,4,0,0,0,0,0,0,2,0,4,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0
179,1,0,5,3,0,0,0,5,0,0,0,4,4,5,0,0,0,0,0,0,0,0,5,0,1,5,3,0,0,0,0,0,0,0,0,0,0
204,4,4,4,3,4,3,3,4,4,3,4,4,3,2,4,3,4,0,0,4,0,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0
224,4,0,5,3,5,5,0,4,4,0,0,0,5,3,4,4,4,0,0,3,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
236,0,0,2,0,5,5,5,5,4,0,0,5,0,0,0,4,4,4,0,5,0,0,4,0,0,5,3,0,0,0,0,0,0,0,0,0,0
253,5,4,4,5,3,5,4,2,3,5,3,3,5,5,5,4,4,3,3,1,3,4,5,1,1,5,5,2,3,0,4,0,0,5,5,4,4
254,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,5,4,4,3,5,5,5,4,3,2,2,5,3,2,2,2,5,0,0,5,0,0,5,4,0,5,5,0,0,0,0,0,0,0,0,0,0
272,5,0,4,4,3,4,5,5,5,4,0,4,5,0,4,3,4,0,5,4,0,4,5,5,3,4,5,0,0,0,0,0,0,0,0,0,0
292,5,0,4,4,5,5,4,5,0,0,0,3,5,5,5,0,4,0,5,1,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0
331,5,0,0,4,5,5,0,4,5,0,0,0,0,0,0,4,4,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,5,0,4,0,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,4,5,4,5,5,5,4,0,3,0,0,0,0,2,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,5,0,0,0,0,0,3,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,5,5,0,0,0,0,0,4,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,5,0,0,0,4,0,4,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
445,1,3,5,3,3,5,2,3,5,2,4,3,5,5,4,2,5,5,4,5,4,5,3,3,4,5,5,0,0,0,0,0,0,0,0,0,0
450,2,0,0,4,0,4,0,0,0,0,0,4,5,5,0,0,0,0,0,4,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
474,5,5,5,5,5,5,5,5,5,0,0,0,0,5,5,0,5,1,1,1,1,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0
479,4,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,4,4,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,0,0,3,4,0,3,3,0,0,0,0,4,0,4,0,0,3,3,0,0,0,0,5,4,3,4,0,0,0,0,0,0,0,0,0,0,0
554,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
616,0,0,3,0,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,3
686,4,0,4,5,4,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0
697,0,0,0,0,0,3,0,5,0,5,4,0,0,0,3,0,4,4,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
705,5,5,5,5,5,2,0,1,5,5,2,5,5,4,5,0,0,0,0,1,5,0,3,3,5,5,4,0,0,0,0,0,0,0,0,0,0
777,0,4,0,0,0,4,4,5,5,0,0,0,0,5,0,0,3,4,5,3,4,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
792,4,4,4,4,5,5,4,4,3,0,0,0,5,5,0,0,5,5,4,2,5,5,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0
799,4,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
805,4,5,5,4,5,4,0,5,5,0,4,4,4,0,0,4,0,4,4,2,4,4,3,2,4,3,5,0,0,0,0,0,0,0,0,0,0
831,5,3,5,5,5,5,5,5,5,5,3,5,3,4,4,2,5,3,2,1,1,5,5,5,3,5,2,0,0,0,0,0,0,0,0,0,0
904,3,0,0,0,4,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0
908,4,3,4,4,2,0,0,3,0,0,5,4,5,5,5,0,0,0,5,2,0,4,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0
913,3,0,0,4,5,5,0,0,5,0,0,4,0,3,0,0,0,0,0,4,0,4,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0
938,0,0,2,0,5,5,0,0,5,0,0,0,0,0,0,0,3,5,4,4,4,4,4,3,4,5,5,0,0,0,0,0,0,0,0,0,0
952,5,0,0,4,0,4,0,0,5,0,0,5,2,0,0,0,0,0,0,0,0,5,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0
953,0,0,4,4,4,3,4,5,0,5,0,0,5,5,5,0,0,0,4,0,0,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
971,0,0,0,4,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
1179,3,0,5,4,0,4,0,4,0,0,0,0,0,5,0,0,0,0,4,1,0,0,4,0,0,5,3,0,0,0,0,0,0,0,0,0,0
1705,4,5,3,5,5,1,1,1,5,5,3,4,5,5,5,5,4,2,2,1,3,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
1831,3,0,5,5,0,0,0,3,5,4,0,0,0,0,4,0,5,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
1913,4,0,0,5,5,5,0,0,4,0,0,3,0,0,0,0,0,0,0,2,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
